Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DGX","QUEST DIAGNOSTICS INC","Health Care","Equity","149,517,718.56","0.04","149,517,718.56","1,105,328.00","135.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","149,070,954.96","0.04","149,070,954.96","1,899,477.00","78.48","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","149,085,634.88","0.04","149,085,634.88","3,150,584.00","47.32","United States","NASDAQ","USD","1.00","USD","-"
"LUV","SOUTHWEST AIRLINES","Industrials","Equity","148,549,912.72","0.04","148,549,912.72","5,864,584.00","25.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","147,925,912.05","0.04","147,925,912.05","9,921,255.00","14.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IEX","IDEX CORP","Industrials","Equity","147,599,449.20","0.04","147,599,449.20","744,324.00","198.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LVS","LAS VEGAS SANDS CORP","Consumer Discretionary","Equity","146,748,849.54","0.04","146,748,849.54","3,236,631.00","45.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JBHT","JB HUNT TRANSPORT SERVICES INC","Industrials","Equity","146,388,953.70","0.04","146,388,953.70","804,114.00","182.05","United States","NASDAQ","USD","1.00","USD","-"
"TXT","TEXTRON INC","Industrials","Equity","145,925,983.00","0.04","145,925,983.00","1,950,100.00","74.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LDOS","LEIDOS HOLDINGS INC","Industrials","Equity","143,693,141.36","0.04","143,693,141.36","1,352,788.00","106.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PKG","PACKAGING CORP OF AMERICA","Materials","Equity","143,369,157.75","0.04","143,369,157.75","885,815.00","161.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","142,549,797.36","0.04","142,549,797.36","1,155,372.00","123.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Real Estate","Equity","142,340,531.30","0.04","142,340,531.30","1,149,205.00","123.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CF","CF INDUSTRIES HOLDINGS INC","Materials","Equity","142,001,080.00","0.04","142,001,080.00","1,899,680.00","74.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNA","SNAP ON INC","Industrials","Equity","141,771,899.68","0.04","141,771,899.68","521,527.00","271.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","141,546,371.25","0.04","141,546,371.25","3,560,915.00","39.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WRB","WR BERKLEY CORP","Financials","Equity","141,367,870.53","0.04","141,367,870.53","2,003,229.00","70.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","140,946,612.30","0.04","140,946,612.30","7,054,385.00","19.98","United States","NASDAQ","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","140,685,567.12","0.04","140,685,567.12","1,516,662.00","92.76","United States","NASDAQ","USD","1.00","USD","-"
"LW","LAMB WESTON HOLDINGS INC","Consumer Staples","Equity","140,061,077.46","0.04","140,061,077.46","1,436,082.00","97.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWK","STANLEY BLACK & DECKER INC","Industrials","Equity","137,992,287.12","0.04","137,992,287.12","1,508,772.00","91.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMCR","AMCOR PLC","Materials","Equity","137,523,186.71","0.04","137,523,186.71","14,491,379.00","9.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","135,526,180.00","0.04","135,526,180.00","1,342,375.00","100.96","United States","NASDAQ","USD","1.00","USD","-"
"CE","CELANESE CORP","Materials","Equity","135,530,820.96","0.04","135,530,820.96","986,109.00","137.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBY","BEST BUY CO INC","Consumer Discretionary","Equity","135,380,268.98","0.04","135,380,268.98","1,912,691.00","70.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DPZ","DOMINOS PIZZA INC","Consumer Discretionary","Equity","134,437,845.78","0.04","134,437,845.78","345,723.00","388.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"K","KELLANOVA","Consumer Staples","Equity","134,073,714.60","0.04","134,073,714.60","2,595,310.00","51.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESS","ESSEX PROPERTY TRUST REIT INC","Real Estate","Equity","134,088,611.84","0.04","134,088,611.84","631,808.00","212.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAS","MASCO CORP","Industrials","Equity","133,742,369.86","0.04","133,742,369.86","2,215,378.00","60.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POOL","POOL CORP","Consumer Discretionary","Equity","132,730,648.40","0.04","132,730,648.40","384,370.00","345.32","United States","NASDAQ","USD","1.00","USD","-"
"TSN","TYSON FOODS INC CLASS A","Consumer Staples","Equity","132,406,955.65","0.04","132,406,955.65","2,811,785.00","47.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAG","CONAGRA BRANDS INC","Consumer Staples","Equity","131,866,435.08","0.03","131,866,435.08","4,706,154.00","28.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PODD","INSULET CORP","Health Care","Equity","129,768,770.16","0.03","129,768,770.16","686,898.00","188.92","United States","NASDAQ","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","128,590,965.30","0.03","128,590,965.30","4,118,865.00","31.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","126,777,539.25","0.03","126,777,539.25","3,230,001.00","39.25","United States","NASDAQ","USD","1.00","USD","-"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","126,705,307.32","0.03","126,705,307.32","4,651,443.00","27.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"L","LOEWS CORP","Financials","Equity","124,764,862.69","0.03","124,764,862.69","1,821,119.00","68.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNT","ALLIANT ENERGY CORP","Utilities","Equity","124,315,542.12","0.03","124,315,542.12","2,489,298.00","49.94","United States","NASDAQ","USD","1.00","USD","-"
"NDSN","NORDSON CORP","Industrials","Equity","123,979,754.20","0.03","123,979,754.20","533,017.00","232.60","United States","NASDAQ","USD","1.00","USD","-"
"HST","HOST HOTELS & RESORTS REIT INC","Real Estate","Equity","122,248,609.92","0.03","122,248,609.92","7,009,668.00","17.44","United States","NASDAQ","USD","1.00","USD","-"
"IP","INTERNATIONAL PAPER","Materials","Equity","121,959,507.18","0.03","121,959,507.18","3,407,642.00","35.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEN","GEN DIGITAL INC","Information Technology","Equity","120,702,676.50","0.03","120,702,676.50","5,544,450.00","21.77","United States","NASDAQ","USD","1.00","USD","-"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Information Technology","Equity","119,533,325.40","0.03","119,533,325.40","505,170.00","236.62","United States","NASDAQ","USD","1.00","USD","-"
"MOS","MOSAIC","Materials","Equity","119,191,296.96","0.03","119,191,296.96","3,272,688.00","36.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LKQ","LKQ CORP","Consumer Discretionary","Equity","116,956,818.84","0.03","116,956,818.84","2,634,756.00","44.39","United States","NASDAQ","USD","1.00","USD","-"
"LYV","LIVE NATION ENTERTAINMENT INC","Communication","Equity","116,735,528.80","0.03","116,735,528.80","1,396,358.00","83.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Communication","Equity","116,179,066.80","0.03","116,179,066.80","3,791,745.00","30.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KIM","KIMCO REALTY REIT CORP","Real Estate","Equity","116,150,974.62","0.03","116,150,974.62","6,106,781.00","19.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEY","KEYCORP","Financials","Equity","114,721,331.68","0.03","114,721,331.68","9,221,972.00","12.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVRG","EVERGY INC","Utilities","Equity","114,583,229.28","0.03","114,583,229.28","2,262,702.00","50.64","United States","NASDAQ","USD","1.00","USD","-"
"AES","AES CORP","Utilities","Equity","113,638,620.06","0.03","113,638,620.06","6,599,223.00","17.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SJM","JM SMUCKER","Consumer Staples","Equity","113,405,078.04","0.03","113,405,078.04","1,044,438.00","108.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRMB","TRIMBLE INC","Information Technology","Equity","112,305,717.44","0.03","112,305,717.44","2,445,682.00","45.92","United States","NASDAQ","USD","1.00","USD","-"
"JKHY","JACK HENRY AND ASSOCIATES INC","Financials","Equity","111,932,494.70","0.03","111,932,494.70","717,470.00","156.01","United States","NASDAQ","USD","1.00","USD","-"
"ROL","ROLLINS INC","Industrials","Equity","111,181,575.81","0.03","111,181,575.81","2,766,399.00","40.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TAP","MOLSON COORS BREWING CLASS B","Consumer Staples","Equity","109,912,262.30","0.03","109,912,262.30","1,828,823.00","60.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APA","APA CORP","Energy","Equity","109,869,630.18","0.03","109,869,630.18","3,025,878.00","36.31","United States","NASDAQ","USD","1.00","USD","-"
"RVTY","REVVITY INC","Health Care","Equity","109,304,082.64","0.03","109,304,082.64","1,222,504.00","89.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MGM","MGM RESORTS INTERNATIONAL","Consumer Discretionary","Equity","109,052,300.17","0.03","109,052,300.17","2,765,719.00","39.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTRS","VIATRIS INC","Health Care","Equity","107,883,357.67","0.03","107,883,357.67","11,816,359.00","9.13","United States","NASDAQ","USD","1.00","USD","-"
"CDAY","CERIDIAN HCM HOLDING INC","Industrials","Equity","105,980,437.80","0.03","105,980,437.80","1,533,060.00","69.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","105,767,201.35","0.03","105,767,201.35","2,257,571.00","46.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NI","NISOURCE INC","Utilities","Equity","105,077,672.00","0.03","105,077,672.00","4,071,200.00","25.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BFB","BROWN FORMAN CORP CLASS B","Consumer Staples","Equity","104,970,347.55","0.03","104,970,347.55","1,802,685.00","58.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNR","PENTAIR","Industrials","Equity","103,651,731.00","0.03","103,651,731.00","1,626,675.00","63.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GL","GLOBE LIFE INC","Financials","Equity","102,844,307.58","0.03","102,844,307.58","855,183.00","120.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFX","TELEFLEX INC","Health Care","Equity","102,463,087.50","0.03","102,463,087.50","463,110.00","221.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WRK","WESTROCK","Materials","Equity","101,060,501.20","0.03","101,060,501.20","2,520,212.00","40.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REG","REGENCY CENTERS REIT CORP","Real Estate","Equity","99,528,412.86","0.03","99,528,412.86","1,619,138.00","61.47","United States","NASDAQ","USD","1.00","USD","-"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Health Care","Equity","99,446,213.70","0.03","99,446,213.70","504,547.00","197.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UDR","UDR REIT INC","Real Estate","Equity","99,417,522.32","0.03","99,417,522.32","2,986,408.00","33.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FFIV","F5 INC","Information Technology","Equity","99,332,666.90","0.03","99,332,666.90","584,138.00","170.05","United States","NASDAQ","USD","1.00","USD","-"
"KMX","CARMAX INC","Consumer Discretionary","Equity","98,420,270.04","0.03","98,420,270.04","1,558,269.00","63.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","97,907,893.68","0.03","97,907,893.68","1,551,139.00","63.12","United States","NASDAQ","USD","1.00","USD","-"
"INCY","INCYTE CORP","Health Care","Equity","97,786,507.89","0.03","97,786,507.89","1,831,551.00","53.39","United States","NASDAQ","USD","1.00","USD","-"
"EMN","EASTMAN CHEMICAL","Materials","Equity","97,004,864.16","0.03","97,004,864.16","1,166,064.00","83.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CZR","CAESARS ENTERTAINMENT INC","Consumer Discretionary","Equity","95,535,738.06","0.03","95,535,738.06","2,121,602.00","45.03","United States","NASDAQ","USD","1.00","USD","-"
"CPT","CAMDEN PROPERTY TRUST REIT","Real Estate","Equity","94,255,898.75","0.03","94,255,898.75","1,050,205.00","89.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHRW","CH ROBINSON WORLDWIDE INC","Industrials","Equity","93,542,110.47","0.02","93,542,110.47","1,146,771.00","81.57","United States","NASDAQ","USD","1.00","USD","-"
"ETSY","ETSY INC","Consumer Discretionary","Equity","93,353,096.40","0.02","93,353,096.40","1,209,237.00","77.20","United States","NASDAQ","USD","1.00","USD","-"
"QRVO","QORVO INC","Information Technology","Equity","92,488,398.14","0.02","92,488,398.14","964,526.00","95.89","United States","NASDAQ","USD","1.00","USD","-"
"PEAK","HEALTHPEAK PROPERTIES INC","Real Estate","Equity","92,399,888.88","0.02","92,399,888.88","5,390,892.00","17.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AOS","A O SMITH CORP","Industrials","Equity","92,195,463.60","0.02","92,195,463.60","1,227,636.00","75.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Industrials","Equity","91,685,398.75","0.02","91,685,398.75","392,237.00","233.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALLE","ALLEGION PLC","Industrials","Equity","90,238,473.97","0.02","90,238,473.97","862,783.00","104.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTCH","MATCH GROUP INC","Communication","Equity","89,000,007.04","0.02","89,000,007.04","2,740,148.00","32.48","United States","NASDAQ","USD","1.00","USD","-"
"JNPR","JUNIPER NETWORKS INC","Information Technology","Equity","88,588,678.72","0.02","88,588,678.72","3,159,368.00","28.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MKTX","MARKETAXESS HOLDINGS INC","Financials","Equity","87,918,662.16","0.02","87,918,662.16","370,824.00","237.09","United States","NASDAQ","USD","1.00","USD","-"
"PAYC","PAYCOM SOFTWARE INC","Industrials","Equity","87,890,479.74","0.02","87,890,479.74","484,806.00","181.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HRL","HORMEL FOODS CORP","Consumer Staples","Equity","86,929,112.27","0.02","86,929,112.27","2,852,941.00","30.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSIC","HENRY SCHEIN INC","Health Care","Equity","85,789,886.82","0.02","85,789,886.82","1,286,977.00","66.66","United States","NASDAQ","USD","1.00","USD","-"
"AIZ","ASSURANT INC","Financials","Equity","85,077,556.20","0.02","85,077,556.20","519,399.00","163.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RHI","ROBERT HALF","Industrials","Equity","84,774,067.00","0.02","84,774,067.00","1,053,094.00","80.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NWSA","NEWS CORP CLASS A","Communication","Equity","83,679,719.90","0.02","83,679,719.90","3,745,735.00","22.34","United States","NASDAQ","USD","1.00","USD","-"
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Health Care","Equity","82,941,485.25","0.02","82,941,485.25","610,987.00","135.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNW","PINNACLE WEST CORP","Utilities","Equity","82,757,377.13","0.02","82,757,377.13","1,116,683.00","74.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BXP","BOSTON PROPERTIES REIT INC","Real Estate","Equity","80,885,166.00","0.02","80,885,166.00","1,419,038.00","57.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WYNN","WYNN RESORTS LTD","Consumer Discretionary","Equity","79,698,352.44","0.02","79,698,352.44","952,532.00","83.67","United States","NASDAQ","USD","1.00","USD","-"
"BWA","BORGWARNER INC","Consumer Discretionary","Equity","79,124,022.32","0.02","79,124,022.32","2,316,277.00","34.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AAL","AMERICAN AIRLINES GROUP INC","Industrials","Equity","78,565,226.48","0.02","78,565,226.48","6,423,976.00","12.23","United States","NASDAQ","USD","1.00","USD","-"
"CPB","CAMPBELL SOUP","Consumer Staples","Equity","76,905,461.92","0.02","76,905,461.92","1,934,242.00","39.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FOXA","FOX CORP CLASS A","Communication","Equity","73,778,968.44","0.02","73,778,968.44","2,494,218.00","29.58","United States","NASDAQ","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","72,177,640.18","0.02","72,177,640.18","2,279,054.00","31.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBWI","BATH AND BODY WORKS INC","Consumer Discretionary","Equity","72,126,025.10","0.02","72,126,025.10","2,250,422.00","32.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GNRC","GENERAC HOLDINGS INC","Industrials","Equity","70,740,726.40","0.02","70,740,726.40","611,944.00","115.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTLT","CATALENT INC","Health Care","Equity","70,123,500.66","0.02","70,123,500.66","1,772,138.00","39.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BEN","FRANKLIN RESOURCES INC","Financials","Equity","68,756,836.70","0.02","68,756,836.70","2,796,130.00","24.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PARA","PARAMOUNT GLOBAL CLASS B","Communication","Equity","68,320,216.47","0.02","68,320,216.47","4,741,167.00","14.41","United States","NASDAQ","USD","1.00","USD","-"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Real Estate","Equity","68,070,461.04","0.02","68,070,461.04","721,697.00","94.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XRAY","DENTSPLY SIRONA INC","Health Care","Equity","65,215,306.13","0.02","65,215,306.13","2,081,561.00","31.33","United States","NASDAQ","USD","1.00","USD","-"
"FMC","FMC CORP","Materials","Equity","64,592,370.36","0.02","64,592,370.36","1,226,127.00","52.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IVZ","INVESCO LTD","Financials","Equity","62,987,037.96","0.02","62,987,037.96","4,410,857.00","14.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIO","BIO RAD LABORATORIES INC CLASS A","Health Care","Equity","62,555,948.05","0.02","62,555,948.05","205,445.00","304.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Consumer Discretionary","Equity","61,971,737.47","0.02","61,971,737.47","4,178,809.00","14.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAS","HASBRO INC","Consumer Discretionary","Equity","59,552,325.18","0.02","59,552,325.18","1,282,626.00","46.43","United States","NASDAQ","USD","1.00","USD","-"
"WHR","WHIRLPOOL CORP","Consumer Discretionary","Equity","59,125,761.23","0.02","59,125,761.23","539,321.00","109.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMA","COMERICA INC","Financials","Equity","58,387,661.08","0.02","58,387,661.08","1,295,201.00","45.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VFC","VF CORP","Consumer Discretionary","Equity","55,649,031.90","0.01","55,649,031.90","3,248,630.00","17.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVA","DAVITA INC","Health Care","Equity","52,735,227.37","0.01","52,735,227.37","529,417.00","99.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZION","ZIONS BANCORPORATION","Financials","Equity","51,613,717.36","0.01","51,613,717.36","1,456,369.00","35.44","United States","NASDAQ","USD","1.00","USD","-"
"RL","RALPH LAUREN CORP CLASS A","Consumer Discretionary","Equity","51,384,659.70","0.01","51,384,659.70","396,946.00","129.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBFUT","CASH COLLATERAL USD UBFUT","Cash and/or Derivatives","Cash Collateral and Margins","49,314,000.00","0.01","49,314,000.00","49,314,000.00","100.00","United States","-","USD","1.00","USD","Oct 01, 2015"
"SEE","SEALED AIR CORP","Materials","Equity","47,045,816.32","0.01","47,045,816.32","1,418,752.00","33.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALK","ALASKA AIR GROUP INC","Industrials","Equity","46,960,888.24","0.01","46,960,888.24","1,250,956.00","37.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MHK","MOHAWK INDUSTRIES INC","Consumer Discretionary","Equity","45,586,550.20","0.01","45,586,550.20","519,209.00","87.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Information Technology","Equity","43,674,742.60","0.01","43,674,742.60","556,012.00","78.55","United States","NASDAQ","USD","1.00","USD","-"
"FOX","FOX CORP CLASS B","Communication","Equity","36,058,554.87","0.01","36,058,554.87","1,302,223.00","27.69","United States","NASDAQ","USD","1.00","USD","-"
"NWS","NEWS CORP CLASS B","Communication","Equity","26,690,227.20","0.01","26,690,227.20","1,140,608.00","23.40","United States","NASDAQ","USD","1.00","USD","-"
"ESZ3","S&P500 EMINI DEC 23","Cash and/or Derivatives","Futures","0.00","0.00","1,063,217,100.00","4,664.00","4,559.25","-","Index And Options Market","USD","1.00","USD","-"
 